message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=3.277223, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.172194019";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.395857, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.156510058";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.292395, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.156233849";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.262051, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.156276607";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.380685, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.140903713";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.246878, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.140684060";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.277223, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.140346479";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.262051, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.124512299";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.365512, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.124401574";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.231706, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.124231192";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.216534, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.108982671";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.246878, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.108324615";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.350340, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.108093695";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.201361, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.092705086";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.335168, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.092533061";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.231706, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.092569765";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.216534, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.076630731";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.319995, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.076303102";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.186189, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.076075057";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.171017, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.060823928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.201361, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.060793696";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.304823, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.060577246";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.186189, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.045026348";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.289651, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.044462996";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.155844, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.044437216";"./src/turtle.cpp:update:260"
